,filepath,type,id
0,../NEU-DET/train/images\crazing\crazing_1.jpg,crazing,1
1,../NEU-DET/train/images\crazing\crazing_10.jpg,crazing,10
2,../NEU-DET/train/images\crazing\crazing_100.jpg,crazing,100
3,../NEU-DET/train/images\crazing\crazing_101.jpg,crazing,101
4,../NEU-DET/train/images\crazing\crazing_102.jpg,crazing,102
5,../NEU-DET/train/images\crazing\crazing_103.jpg,crazing,103
6,../NEU-DET/train/images\crazing\crazing_104.jpg,crazing,104
7,../NEU-DET/train/images\crazing\crazing_105.jpg,crazing,105
8,../NEU-DET/train/images\crazing\crazing_106.jpg,crazing,106
9,../NEU-DET/train/images\crazing\crazing_107.jpg,crazing,107
10,../NEU-DET/train/images\crazing\crazing_108.jpg,crazing,108
11,../NEU-DET/train/images\crazing\crazing_109.jpg,crazing,109
12,../NEU-DET/train/images\crazing\crazing_11.jpg,crazing,11
13,../NEU-DET/train/images\crazing\crazing_110.jpg,crazing,110
14,../NEU-DET/train/images\crazing\crazing_111.jpg,crazing,111
15,../NEU-DET/train/images\crazing\crazing_112.jpg,crazing,112
16,../NEU-DET/train/images\crazing\crazing_113.jpg,crazing,113
17,../NEU-DET/train/images\crazing\crazing_114.jpg,crazing,114
18,../NEU-DET/train/images\crazing\crazing_115.jpg,crazing,115
19,../NEU-DET/train/images\crazing\crazing_116.jpg,crazing,116
20,../NEU-DET/train/images\crazing\crazing_117.jpg,crazing,117
21,../NEU-DET/train/images\crazing\crazing_118.jpg,crazing,118
22,../NEU-DET/train/images\crazing\crazing_119.jpg,crazing,119
23,../NEU-DET/train/images\crazing\crazing_12.jpg,crazing,12
24,../NEU-DET/train/images\crazing\crazing_120.jpg,crazing,120
25,../NEU-DET/train/images\crazing\crazing_121.jpg,crazing,121
26,../NEU-DET/train/images\crazing\crazing_122.jpg,crazing,122
27,../NEU-DET/train/images\crazing\crazing_123.jpg,crazing,123
28,../NEU-DET/train/images\crazing\crazing_124.jpg,crazing,124
29,../NEU-DET/train/images\crazing\crazing_125.jpg,crazing,125
30,../NEU-DET/train/images\crazing\crazing_126.jpg,crazing,126
31,../NEU-DET/train/images\crazing\crazing_127.jpg,crazing,127
32,../NEU-DET/train/images\crazing\crazing_128.jpg,crazing,128
33,../NEU-DET/train/images\crazing\crazing_129.jpg,crazing,129
34,../NEU-DET/train/images\crazing\crazing_13.jpg,crazing,13
35,../NEU-DET/train/images\crazing\crazing_130.jpg,crazing,130
36,../NEU-DET/train/images\crazing\crazing_131.jpg,crazing,131
37,../NEU-DET/train/images\crazing\crazing_132.jpg,crazing,132
38,../NEU-DET/train/images\crazing\crazing_133.jpg,crazing,133
39,../NEU-DET/train/images\crazing\crazing_134.jpg,crazing,134
40,../NEU-DET/train/images\crazing\crazing_135.jpg,crazing,135
41,../NEU-DET/train/images\crazing\crazing_136.jpg,crazing,136
42,../NEU-DET/train/images\crazing\crazing_137.jpg,crazing,137
43,../NEU-DET/train/images\crazing\crazing_138.jpg,crazing,138
44,../NEU-DET/train/images\crazing\crazing_139.jpg,crazing,139
45,../NEU-DET/train/images\crazing\crazing_14.jpg,crazing,14
46,../NEU-DET/train/images\crazing\crazing_140.jpg,crazing,140
47,../NEU-DET/train/images\crazing\crazing_141.jpg,crazing,141
48,../NEU-DET/train/images\crazing\crazing_142.jpg,crazing,142
49,../NEU-DET/train/images\crazing\crazing_143.jpg,crazing,143
50,../NEU-DET/train/images\crazing\crazing_144.jpg,crazing,144
51,../NEU-DET/train/images\crazing\crazing_145.jpg,crazing,145
52,../NEU-DET/train/images\crazing\crazing_146.jpg,crazing,146
53,../NEU-DET/train/images\crazing\crazing_147.jpg,crazing,147
54,../NEU-DET/train/images\crazing\crazing_148.jpg,crazing,148
55,../NEU-DET/train/images\crazing\crazing_149.jpg,crazing,149
56,../NEU-DET/train/images\crazing\crazing_15.jpg,crazing,15
57,../NEU-DET/train/images\crazing\crazing_150.jpg,crazing,150
58,../NEU-DET/train/images\crazing\crazing_151.jpg,crazing,151
59,../NEU-DET/train/images\crazing\crazing_152.jpg,crazing,152
60,../NEU-DET/train/images\crazing\crazing_153.jpg,crazing,153
61,../NEU-DET/train/images\crazing\crazing_154.jpg,crazing,154
62,../NEU-DET/train/images\crazing\crazing_155.jpg,crazing,155
63,../NEU-DET/train/images\crazing\crazing_156.jpg,crazing,156
64,../NEU-DET/train/images\crazing\crazing_157.jpg,crazing,157
65,../NEU-DET/train/images\crazing\crazing_158.jpg,crazing,158
66,../NEU-DET/train/images\crazing\crazing_159.jpg,crazing,159
67,../NEU-DET/train/images\crazing\crazing_16.jpg,crazing,16
68,../NEU-DET/train/images\crazing\crazing_160.jpg,crazing,160
69,../NEU-DET/train/images\crazing\crazing_161.jpg,crazing,161
70,../NEU-DET/train/images\crazing\crazing_162.jpg,crazing,162
71,../NEU-DET/train/images\crazing\crazing_163.jpg,crazing,163
72,../NEU-DET/train/images\crazing\crazing_164.jpg,crazing,164
73,../NEU-DET/train/images\crazing\crazing_165.jpg,crazing,165
74,../NEU-DET/train/images\crazing\crazing_166.jpg,crazing,166
75,../NEU-DET/train/images\crazing\crazing_167.jpg,crazing,167
76,../NEU-DET/train/images\crazing\crazing_168.jpg,crazing,168
77,../NEU-DET/train/images\crazing\crazing_169.jpg,crazing,169
78,../NEU-DET/train/images\crazing\crazing_17.jpg,crazing,17
79,../NEU-DET/train/images\crazing\crazing_170.jpg,crazing,170
80,../NEU-DET/train/images\crazing\crazing_171.jpg,crazing,171
81,../NEU-DET/train/images\crazing\crazing_172.jpg,crazing,172
82,../NEU-DET/train/images\crazing\crazing_173.jpg,crazing,173
83,../NEU-DET/train/images\crazing\crazing_174.jpg,crazing,174
84,../NEU-DET/train/images\crazing\crazing_175.jpg,crazing,175
85,../NEU-DET/train/images\crazing\crazing_176.jpg,crazing,176
86,../NEU-DET/train/images\crazing\crazing_177.jpg,crazing,177
87,../NEU-DET/train/images\crazing\crazing_178.jpg,crazing,178
88,../NEU-DET/train/images\crazing\crazing_179.jpg,crazing,179
89,../NEU-DET/train/images\crazing\crazing_18.jpg,crazing,18
90,../NEU-DET/train/images\crazing\crazing_180.jpg,crazing,180
91,../NEU-DET/train/images\crazing\crazing_181.jpg,crazing,181
92,../NEU-DET/train/images\crazing\crazing_182.jpg,crazing,182
93,../NEU-DET/train/images\crazing\crazing_183.jpg,crazing,183
94,../NEU-DET/train/images\crazing\crazing_184.jpg,crazing,184
95,../NEU-DET/train/images\crazing\crazing_185.jpg,crazing,185
96,../NEU-DET/train/images\crazing\crazing_186.jpg,crazing,186
97,../NEU-DET/train/images\crazing\crazing_187.jpg,crazing,187
98,../NEU-DET/train/images\crazing\crazing_188.jpg,crazing,188
99,../NEU-DET/train/images\crazing\crazing_189.jpg,crazing,189
100,../NEU-DET/train/images\crazing\crazing_19.jpg,crazing,19
101,../NEU-DET/train/images\crazing\crazing_190.jpg,crazing,190
102,../NEU-DET/train/images\crazing\crazing_191.jpg,crazing,191
103,../NEU-DET/train/images\crazing\crazing_192.jpg,crazing,192
104,../NEU-DET/train/images\crazing\crazing_193.jpg,crazing,193
105,../NEU-DET/train/images\crazing\crazing_194.jpg,crazing,194
106,../NEU-DET/train/images\crazing\crazing_195.jpg,crazing,195
107,../NEU-DET/train/images\crazing\crazing_196.jpg,crazing,196
108,../NEU-DET/train/images\crazing\crazing_197.jpg,crazing,197
109,../NEU-DET/train/images\crazing\crazing_198.jpg,crazing,198
110,../NEU-DET/train/images\crazing\crazing_199.jpg,crazing,199
111,../NEU-DET/train/images\crazing\crazing_2.jpg,crazing,2
112,../NEU-DET/train/images\crazing\crazing_20.jpg,crazing,20
113,../NEU-DET/train/images\crazing\crazing_200.jpg,crazing,200
114,../NEU-DET/train/images\crazing\crazing_201.jpg,crazing,201
115,../NEU-DET/train/images\crazing\crazing_202.jpg,crazing,202
116,../NEU-DET/train/images\crazing\crazing_203.jpg,crazing,203
117,../NEU-DET/train/images\crazing\crazing_204.jpg,crazing,204
118,../NEU-DET/train/images\crazing\crazing_205.jpg,crazing,205
119,../NEU-DET/train/images\crazing\crazing_206.jpg,crazing,206
120,../NEU-DET/train/images\crazing\crazing_207.jpg,crazing,207
121,../NEU-DET/train/images\crazing\crazing_208.jpg,crazing,208
122,../NEU-DET/train/images\crazing\crazing_209.jpg,crazing,209
123,../NEU-DET/train/images\crazing\crazing_21.jpg,crazing,21
124,../NEU-DET/train/images\crazing\crazing_210.jpg,crazing,210
