,filepath,type,id,hog_features,glcm_features
419,../NEU-DET/train/images\inclusion\inclusion_44.jpg,inclusion,44,[0.2369237  0.15415997 0.21013955 ... 0.21379456 0.17212412 0.02422983],"[1.27806533e+01 1.72544128e+01 8.23502513e+00 1.69070983e+01
 2.83107828e+01 1.72544128e+01 1.66944444e+01 1.69070983e+01
 5.42078061e+01 4.58253756e+01 2.43739796e+01 4.46855369e+01
 9.54764583e+01 7.94375066e+01 3.55675260e+01 7.94891062e+01
 2.74120603e+00 3.22461554e+00 2.18356784e+00 3.17699048e+00
 4.08901515e+00 3.22461554e+00 3.16838384e+00 3.17699048e+00
 5.60535714e+00 5.18459636e+00 3.82780612e+00 5.12394032e+00
 7.45359375e+00 6.78036986e+00 4.59393229e+00 6.82272292e+00
 3.12473280e-01 2.71508859e-01 3.71048054e-01 2.77172588e-01
 2.26809684e-01 2.71508859e-01 2.76591468e-01 2.77172588e-01
 1.77765917e-01 1.86926925e-01 2.36491220e-01 1.88284633e-01
 1.40991778e-01 1.49433054e-01 2.06775882e-01 1.48635927e-01
 5.97989765e-02 5.52596150e-02 6.61917232e-02 5.57477155e-02
 5.02644078e-02 5.52596150e-02 5.55068858e-02 5.57477155e-02
 4.44107633e-02 4.56224784e-02 5.08958652e-02 4.58187562e-02
 4.02019953e-02 4.16807639e-02 4.71640646e-02 4.14570331e-02
 9.40880477e-01 9.20168262e-01 9.62020992e-01 9.21777055e-01
 8.68749931e-01 9.20168262e-01 9.22966624e-01 9.21777055e-01
 7.47762032e-01 7.86817293e-01 8.87338200e-01 7.92128843e-01
 5.53027189e-01 6.27515310e-01 8.35350909e-01 6.27495811e-01]"
675,../NEU-DET/train/images\patches\patches_59.jpg,patches,59,[0.29324098 0.03451908 0.13982935 ... 0.06884592 0.10224669 0.11966038],"[3.07574196e+02 4.26079543e+02 2.77419171e+02 3.90898336e+02
 5.32686869e+02 4.26079543e+02 4.65246338e+02 3.90898336e+02
 8.74451301e+02 8.10391971e+02 6.38786250e+02 8.37414801e+02
 1.57888987e+03 1.26865687e+03 8.20186875e+02 1.39135485e+03
 1.20386181e+01 1.42037827e+01 1.14173116e+01 1.35701876e+01
 1.58442424e+01 1.42037827e+01 1.48054293e+01 1.35701876e+01
 2.00870153e+01 1.94926950e+01 1.73910459e+01 1.98110490e+01
 2.69791406e+01 2.43320757e+01 1.96132292e+01 2.52133861e+01
 2.11542306e-01 2.05384704e-01 2.13580752e-01 2.10354478e-01
 1.95775542e-01 2.05384704e-01 2.02899269e-01 2.10354478e-01
 1.80973219e-01 1.82386133e-01 1.88139516e-01 1.80390149e-01
 1.61626548e-01 1.66316695e-01 1.80114934e-01 1.66591268e-01
 1.27704629e-01 1.27517786e-01 1.27087213e-01 1.29704208e-01
 1.22702814e-01 1.27517786e-01 1.26166860e-01 1.29704208e-01
 1.17170640e-01 1.17351303e-01 1.20175634e-01 1.16370375e-01
 1.08100933e-01 1.08975218e-01 1.15804613e-01 1.10307793e-01
 9.52153758e-01 9.33697608e-01 9.56703691e-01 9.39172206e-01
 9.17365411e-01 9.33697608e-01 9.27363960e-01 9.39172206e-01
 8.65109806e-01 8.74511636e-01 9.00218605e-01 8.70328921e-01
 7.59352577e-01 8.05233040e-01 8.71911343e-01 7.86400645e-01]"
748,../NEU-DET/train/images\pitted_surface\pitted_surface_124.jpg,pitted,124,[0.25374744 0.25374744 0.25374744 ... 0.11565672 0.23580412 0.08999814],"[2.01314322e+01 2.89945708e+01 1.39089196e+01 2.59703795e+01
 4.39630303e+01 2.89945708e+01 3.42396465e+01 2.59703795e+01
 6.97380102e+01 6.80569713e+01 6.25615816e+01 6.85150352e+01
 8.61055469e+01 8.13804071e+01 8.15247396e+01 8.94206611e+01
 3.23339196e+00 3.87399308e+00 2.68319095e+00 3.69649756e+00
 4.67727273e+00 3.87399308e+00 4.15398990e+00 3.69649756e+00
 5.78938776e+00 5.71153598e+00 5.57316327e+00 5.87301915e+00
 6.49455729e+00 6.27858965e+00 6.62078125e+00 7.09007333e+00
 2.97061316e-01 2.58666913e-01 3.39996394e-01 2.65119540e-01
 2.28569846e-01 2.58666913e-01 2.47817969e-01 2.65119540e-01
 1.97532851e-01 1.98193732e-01 1.93693804e-01 1.85008828e-01
 1.73622455e-01 1.80369404e-01 1.49908530e-01 1.38186695e-01
 3.12250456e-02 2.83871147e-02 3.37549466e-02 2.88658291e-02
 2.61923229e-02 2.83871147e-02 2.74628498e-02 2.88658291e-02
 2.38262575e-02 2.37738170e-02 2.38723312e-02 2.32629116e-02
 2.23032850e-02 2.26046392e-02 2.14812735e-02 2.06998962e-02
 9.90693286e-01 9.86531148e-01 9.93545650e-01 9.87937195e-01
 9.79651092e-01 9.86531148e-01 9.84034635e-01 9.87937195e-01
 9.67626547e-01 9.67980751e-01 9.70549204e-01 9.67791322e-01
 9.59890798e-01 9.60993049e-01 9.60890596e-01 9.57264137e-01]"
226,../NEU-DET/train/images\crazing\crazing_87.jpg,crazing,87,[0.22393232 0.08401035 0.22393232 ... 0.09506282 0.23350215 0.10525283],"[2.07342714e+02 2.65698795e+02 1.70630201e+02 2.52670539e+02
 3.45531389e+02 2.65698795e+02 3.10059040e+02 2.52670539e+02
 4.94970791e+02 4.83077997e+02 4.70629541e+02 5.04599706e+02
 6.18956276e+02 6.01972739e+02 5.47785938e+02 6.18018626e+02
 1.10343719e+01 1.24463019e+01 1.00041206e+01 1.21805005e+01
 1.41859343e+01 1.24463019e+01 1.34469192e+01 1.21805005e+01
 1.68608929e+01 1.66899431e+01 1.64966837e+01 1.70368214e+01
 1.89195573e+01 1.86539483e+01 1.76979688e+01 1.88456531e+01
 9.77565509e-02 8.70944186e-02 1.04748012e-01 8.89443667e-02
 7.72067305e-02 8.70944186e-02 8.03621219e-02 8.89443667e-02
 6.41716141e-02 6.54564928e-02 6.58721982e-02 6.48310277e-02
 5.89747382e-02 5.92919153e-02 6.36933380e-02 5.97116635e-02
 1.63130547e-02 1.55081235e-02 1.69998411e-02 1.55614027e-02
 1.46946482e-02 1.55081235e-02 1.49512971e-02 1.55614027e-02
 1.37858993e-02 1.37485560e-02 1.37882830e-02 1.36649128e-02
 1.31463095e-02 1.32482616e-02 1.33973556e-02 1.32171578e-02
 9.52353700e-01 9.39023196e-01 9.61172893e-01 9.42013229e-01
 9.19827424e-01 9.39023196e-01 9.29548976e-01 9.42013229e-01
 8.82556225e-01 8.87165908e-01 8.93380899e-01 8.82150671e-01
 8.46576216e-01 8.55218646e-01 8.76499564e-01 8.51299933e-01]"
1163,../NEU-DET/train/images\rolled-in_scale\rolled-in_scale_66.jpg,rolled-in,66,[0.19847726 0.07978102 0.13506998 ... 0.09905654 0.04223979 0.        ],"[6.80495729e+01 1.12832959e+02 1.05307261e+02 1.10958966e+02
 9.43907323e+01 1.12832959e+02 1.57495455e+02 1.10958966e+02
 1.42683954e+02 1.93544023e+02 2.01444286e+02 1.93983664e+02
 2.09509870e+02 2.28803672e+02 2.37499141e+02 2.31255845e+02
 6.52701005e+00 8.35812227e+00 8.03675879e+00 8.24948865e+00
 7.66467172e+00 8.35812227e+00 9.67186869e+00 8.24948865e+00
 9.32762755e+00 1.07148857e+01 1.08405612e+01 1.06809761e+01
 1.12178385e+01 1.16333032e+01 1.16754948e+01 1.17367680e+01
 1.44090103e-01 1.15403417e-01 1.24258807e-01 1.17745351e-01
 1.26363741e-01 1.15403417e-01 1.04375613e-01 1.17745351e-01
 1.06611757e-01 9.50863040e-02 9.46919679e-02 9.70600037e-02
 9.05018016e-02 8.78653949e-02 9.11137279e-02 8.70173178e-02
 2.89244055e-02 2.59835297e-02 2.64843906e-02 2.61383690e-02
 2.70122829e-02 2.59835297e-02 2.46040085e-02 2.61383690e-02
 2.49567384e-02 2.37897166e-02 2.37285971e-02 2.37372594e-02
 2.32962468e-02 2.29799194e-02 2.30801020e-02 2.29761556e-02
 8.65393902e-01 7.76793690e-01 7.92125192e-01 7.80496824e-01
 8.12724667e-01 7.76793690e-01 6.89190940e-01 7.80496824e-01
 7.15117444e-01 6.14490612e-01 6.02065254e-01 6.13692783e-01
 5.76966852e-01 5.40831201e-01 5.32366996e-01 5.36055077e-01]"
28,../NEU-DET/train/images\crazing\crazing_124.jpg,crazing,124,[0.22090265 0.05490123 0.08543943 ... 0.03215227 0.17621805 0.1158552 ],"[3.10739874e+02 4.11854852e+02 2.49759171e+02 3.78559279e+02
 5.45261061e+02 4.11854852e+02 4.70715455e+02 3.78559279e+02
 7.91442679e+02 7.77516993e+02 7.18145102e+02 7.93819114e+02
 9.62524193e+02 9.01562892e+02 8.58131224e+02 9.58610798e+02
 1.37836935e+01 1.58756597e+01 1.24476131e+01 1.52392616e+01
 1.81185859e+01 1.58756597e+01 1.69947475e+01 1.52392616e+01
 2.16649745e+01 2.15328146e+01 2.07569898e+01 2.17684558e+01
 2.38587240e+01 2.32182219e+01 2.24059635e+01 2.38293124e+01
 7.42022075e-02 6.37941686e-02 8.17410304e-02 6.67360867e-02
 5.70360460e-02 6.37941686e-02 6.06326458e-02 6.67360867e-02
 4.80519666e-02 4.91618148e-02 5.06471908e-02 4.76400331e-02
 4.46330484e-02 4.53141412e-02 4.85595859e-02 4.59154959e-02
 1.63286816e-02 1.53914760e-02 1.69525017e-02 1.56302351e-02
 1.46942142e-02 1.53914760e-02 1.49370982e-02 1.56302351e-02
 1.38534384e-02 1.38915544e-02 1.40175148e-02 1.38369726e-02
 1.35519042e-02 1.36038275e-02 1.36896214e-02 1.35099224e-02
 7.82601624e-01 7.11389060e-01 8.25649909e-01 7.34737975e-01
 6.17396905e-01 7.11389060e-01 6.71048321e-01 7.34737975e-01
 4.41455155e-01 4.50741982e-01 4.97003672e-01 4.39351844e-01
 3.15677184e-01 3.56414340e-01 3.98608377e-01 3.15790437e-01]"
585,../NEU-DET/train/images\patches\patches_194.jpg,patches,194,[0.23908351 0.23903825 0.14635385 ... 0.08287963 0.0949616  0.07409635],"[2.59563467e+02 3.30563016e+02 1.94355603e+02 2.98661726e+02
 4.37388712e+02 3.30563016e+02 3.33590960e+02 2.98661726e+02
 6.89105000e+02 6.45871782e+02 4.99886378e+02 6.37102064e+02
 1.23951263e+03 1.11218464e+03 7.30113333e+02 1.03372106e+03
 1.22368342e+01 1.37815207e+01 1.05769598e+01 1.31093912e+01
 1.58379545e+01 1.37815207e+01 1.38630808e+01 1.31093912e+01
 1.98568878e+01 1.92510500e+01 1.69562755e+01 1.91011879e+01
 2.63638802e+01 2.50585875e+01 2.02582813e+01 2.40930492e+01
 9.22279090e-02 8.32194478e-02 1.05611991e-01 8.80605575e-02
 7.39354729e-02 8.32194478e-02 8.29463979e-02 8.80605575e-02
 5.79160842e-02 6.12232296e-02 6.65136605e-02 6.22411858e-02
 4.78170649e-02 4.96231327e-02 5.86119950e-02 5.10916847e-02
 1.51899644e-02 1.44638549e-02 1.61689713e-02 1.48315345e-02
 1.36218123e-02 1.44638549e-02 1.44284320e-02 1.48315345e-02
 1.23470178e-02 1.25084655e-02 1.32488983e-02 1.26295915e-02
 1.09936400e-02 1.13330527e-02 1.24056361e-02 1.15644181e-02
 9.50733386e-01 9.37173389e-01 9.63153304e-01 9.43232911e-01
 9.16862164e-01 9.37173389e-01 9.36677179e-01 9.43232911e-01
 8.68908708e-01 8.76694592e-01 9.04816092e-01 8.78312716e-01
 7.64983653e-01 7.86948589e-01 8.59986531e-01 8.01704922e-01]"
1195,../NEU-DET/train/images\rolled-in_scale\rolled-in_scale_95.jpg,rolled-in,95,[0.2246562  0.11794918 0.1856228  ... 0.06001649 0.10005245 0.11210858],"[5.65877638e+01 8.34289538e+01 7.71499246e+01 8.29233858e+01
 7.37970202e+01 8.34289538e+01 1.08712222e+02 8.29233858e+01
 1.06532474e+02 1.36341441e+02 1.43519311e+02 1.35085264e+02
 1.52680182e+02 1.72655011e+02 1.81650104e+02 1.77397492e+02
 5.93821608e+00 7.22991844e+00 6.93072864e+00 7.16933916e+00
 6.78156566e+00 7.22991844e+00 8.17308081e+00 7.16933916e+00
 8.12834184e+00 9.16346724e+00 9.34012755e+00 9.08624288e+00
 9.70914063e+00 1.02584759e+01 1.04491146e+01 1.04013710e+01
 1.59811944e-01 1.32408562e-01 1.37724528e-01 1.35793833e-01
 1.41108338e-01 1.32408562e-01 1.18935015e-01 1.35793833e-01
 1.19278122e-01 1.06462688e-01 1.05745625e-01 1.08455952e-01
 1.02933956e-01 9.84835568e-02 9.81653685e-02 9.68431890e-02
 3.53009219e-02 3.24132151e-02 3.30621285e-02 3.25589774e-02
 3.33717257e-02 3.24132151e-02 3.09202246e-02 3.25589774e-02
 3.09365370e-02 2.95580720e-02 2.94300203e-02 2.96607665e-02
 2.89363348e-02 2.84913593e-02 2.83705224e-02 2.83689244e-02
 8.28811923e-01 7.47386347e-01 7.66469011e-01 7.48916014e-01
 7.76640466e-01 7.47386347e-01 6.70460649e-01 7.48916014e-01
 6.77459543e-01 5.85651921e-01 5.63318735e-01 5.89461066e-01
 5.36742529e-01 4.71943928e-01 4.44253281e-01 4.57320638e-01]"
735,../NEU-DET/train/images\pitted_surface\pitted_surface_112.jpg,pitted,112,[0.25049845 0.05919793 0.2346326  ... 0.         0.24476444 0.10523251],"[1.39618342e+01 2.28721749e+01 1.13073367e+01 1.77098811e+01
 3.02495455e+01 2.28721749e+01 2.58026768e+01 1.77098811e+01
 4.70426531e+01 4.69513257e+01 4.24273214e+01 4.89356593e+01
 5.63926563e+01 5.23885110e+01 6.02482813e+01 7.20073600e+01
 2.74695980e+00 3.51539103e+00 2.48487437e+00 3.13565314e+00
 4.01696970e+00 3.51539103e+00 3.77075758e+00 3.13565314e+00
 5.03260204e+00 4.98106109e+00 4.87859694e+00 5.27496199e+00
 5.67307292e+00 5.32755872e+00 6.05244792e+00 6.75409183e+00
 3.28910229e-01 2.72325118e-01 3.48519124e-01 2.91793318e-01
 2.45775484e-01 2.72325118e-01 2.52885258e-01 2.91793318e-01
 2.03646807e-01 2.08574547e-01 1.99088560e-01 1.84588480e-01
 1.74925880e-01 1.91617465e-01 1.48153967e-01 1.30466494e-01
 3.13948419e-02 2.77452694e-02 3.24900555e-02 2.89940057e-02
 2.61045529e-02 2.77452694e-02 2.64732654e-02 2.89940057e-02
 2.33959031e-02 2.36470290e-02 2.33128095e-02 2.23997696e-02
 2.17714485e-02 2.27222562e-02 2.08667700e-02 1.97303704e-02
 9.94372582e-01 9.90732791e-01 9.95429342e-01 9.92825128e-01
 9.87779032e-01 9.90732791e-01 9.89516480e-01 9.92825128e-01
 9.80901688e-01 9.80676487e-01 9.82580941e-01 9.79878194e-01
 9.76905994e-01 9.77899836e-01 9.74708016e-01 9.69723337e-01]"
1378,../NEU-DET/train/images\scratches\scratches_43.jpg,scratches,43,[0.24519413 0.11949677 0.10148819 ... 0.07717764 0.06848943 0.        ],"[ 3.2470603   4.9866165   2.89030151  4.78220247  7.69707071  4.9866165
  5.03454545  4.78220247 17.6502551  13.30266175  5.83969388 12.88474323
 39.02494792 29.25239133  6.74729167 29.19284727  1.23866834  1.62720638
  1.22527638  1.58980834  1.91969697  1.62720638  1.69212121  1.58980834
  2.68168367  2.4430158   1.82811224  2.42211858  3.80703125  3.30585078
  1.97546875  3.39042406  0.55160801  0.46002585  0.53903163  0.46744846
  0.43081497  0.46002585  0.43858279  0.46744846  0.3663524   0.37750015
  0.41716835  0.37513261  0.30090146  0.33302584  0.39467296  0.31354084
  0.0835302   0.07230009  0.08093436  0.07307045  0.06955129  0.07230009
  0.06906546  0.07307045  0.062673    0.06364804  0.06684229  0.06388983
  0.05720579  0.05957711  0.06444279  0.05839714  0.99109671  0.98633203
  0.99214187  0.98689322  0.97872716  0.98633203  0.98631625  0.98689322
  0.95045755  0.96297596  0.98413742  0.96415683  0.8875288   0.91686276
  0.98169005  0.91719045]"
